Model,MSO4032,,,,
Firmware Version,2.68,,,,
,,,,,
Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,10,,,Horizontal Scale,4.00E-08
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,0.01,,,Sample Interval,4.00E-10
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.02,,,Vertical Scale,0.02
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-4.75E+01,-0.0032,0.002,,-1.90E-06,-0.0024
-4.75E+01,-0.0032,-0.0036,,-1.90E-06,-0.004
-4.74E+01,0.0048,-0.0028,,-1.90E-06,-0.0024
-4.74E+01,0.008,0.0076,,-1.90E-06,-0.0032
-4.74E+01,-0.0008,-0.006,,-1.90E-06,-0.0016
-4.74E+01,-0.0008,-0.0036,,-1.90E-06,0
-4.74E+01,0.0064,0.0052,,-1.90E-06,-0.0008
-4.74E+01,-0.0024,-0.0028,,-1.90E-06,0
-4.74E+01,-0.0024,-0.0036,,-1.90E-06,-0.0008
-4.74E+01,0.0072,0.0044,,-1.89E-06,-0.0016
-4.74E+01,0.0056,0.0068,,-1.89E-06,-0.0032
-4.74E+01,-0.0016,-0.0044,,-1.89E-06,-0.0032
-4.73E+01,-0.0024,-0.0044,,-1.89E-06,-0.0032
-4.73E+01,0.0056,0.0044,,-1.89E-06,-0.0032
-4.73E+01,-0.0016,-0.0036,,-1.89E-06,-0.0024
-4.73E+01,-0.0016,-0.0044,,-1.89E-06,-0.0016
-4.73E+01,0.0048,0.0052,,-1.89E-06,-0.0016
-4.73E+01,0,0.006,,-1.89E-06,-0.0016
-4.73E+01,0,-0.0044,,-1.89E-06,-0.0016
-4.73E+01,0,-0.0036,,-1.89E-06,-0.0016
-4.73E+01,0.0056,0.0068,,-1.89E-06,-0.0024
-4.73E+01,-0.0008,-0.0036,,-1.89E-06,-0.0016
-4.72E+01,-0.0032,-0.0036,,-1.89E-06,-0.0032
-4.72E+01,0.0088,0.0068,,-1.89E-06,-0.0032
-4.72E+01,-0.0016,-0.0004,,-1.89E-06,-0.0032
-4.72E+01,-0.004,-0.0036,,-1.89E-06,-0.0032
-4.72E+01,0.0056,-0.0036,,-1.89E-06,-0.0024
-4.72E+01,0.0064,0.0044,,-1.89E-06,-0.0024
-4.72E+01,-0.0008,-0.0012,,-1.89E-06,-0.0016
-4.72E+01,-0.0024,-0.0052,,-1.89E-06,-0.0016
-4.72E+01,0.0072,0.0068,,-1.89E-06,-0.0008
-4.72E+01,-0.0032,-0.0052,,-1.89E-06,-0.0024
-4.71E+01,-0.0032,-0.0044,,-1.89E-06,-0.0032
-4.71E+01,0.0072,0.0084,,-1.89E-06,-0.0024
-4.71E+01,0.0016,0.0036,,-1.88E-06,-0.0024
-4.71E+01,-0.004,-0.0068,,-1.88E-06,-0.0024
-4.71E+01,-0.0024,-0.0044,,-1.88E-06,-0.0024
-4.71E+01,0.0048,0.0052,,-1.88E-06,-0.0024
-4.71E+01,-0.0024,-0.0028,,-1.88E-06,-0.0032
-4.71E+01,-0.0024,-0.0044,,-1.88E-06,-0.0024
-4.71E+01,0.008,0.0036,,-1.88E-06,-0.0032
-4.71E+01,-0.0024,0.0028,,-1.88E-06,-0.0032
-4.70E+01,-0.0024,-0.0028,,-1.88E-06,-0.0032
-4.70E+01,0.0072,-0.0044,,-1.88E-06,-0.0032
-4.70E+01,0.0072,0.0068,,-1.88E-06,-0.004
-4.70E+01,-0.0016,-0.0036,,-1.88E-06,-0.0032
-4.70E+01,-0.004,-0.0052,,-1.88E-06,-0.0032
-4.70E+01,0.0064,0.0068,,-1.88E-06,-0.0024
-4.70E+01,-0.0008,-0.0028,,-1.88E-06,-0.0008
-4.70E+01,0,-0.0036,,-1.88E-06,0.0008
-4.70E+01,0.0072,0.006,,-1.88E-06,0.0024
-4.70E+01,0.0064,0.0068,,-1.88E-06,0.0032
-4.69E+01,-0.0024,-0.0036,,-1.88E-06,0.0048
-4.69E+01,-0.0008,-0.0036,,-1.88E-06,0.0056
-4.69E+01,0.0056,0.006,,-1.88E-06,0.0064
-4.69E+01,-0.0032,-0.0036,,-1.88E-06,0.0064
-4.69E+01,-0.0024,-0.0036,,-1.88E-06,0.0056
-4.69E+01,0.0064,0.006,,-1.88E-06,0.0072
-4.69E+01,-0.0008,0.0028,,-1.88E-06,0.008
-4.69E+01,-0.0016,-0.0052,,-1.87E-06,0.0072
-4.69E+01,0.0048,-0.0044,,-1.87E-06,0.0072
-4.69E+01,0.0072,0.0068,,-1.87E-06,0.0072
-4.68E+01,0,-0.0036,,-1.87E-06,0.0072
-4.68E+01,-0.0008,-0.0044,,-1.87E-06,0.0064
-4.68E+01,0.0064,0.0044,,-1.87E-06,0.0072
-4.68E+01,-0.0032,-0.002,,-1.87E-06,0.0072
-4.68E+01,-0.004,-0.0036,,-1.87E-06,0.0072
-4.68E+01,0.0056,0.0004,,-1.87E-06,0.0072
-4.68E+01,0.0056,0.0068,,-1.87E-06,0.008
-4.68E+01,-0.004,-0.006,,-1.87E-06,0.0088
-4.68E+01,-0.0024,-0.0044,,-1.87E-06,0.0072
-4.68E+01,0.0048,0.0044,,-1.87E-06,0.008
-4.67E+01,-0.0032,-0.006,,-1.87E-06,0.008
-4.67E+01,-0.0024,-0.002,,-1.87E-06,0.008
-4.67E+01,0.0056,0.0052,,-1.87E-06,0.0064
-4.67E+01,0.0016,0.0052,,-1.87E-06,0.0064
-4.67E+01,-0.0024,-0.0044,,-1.87E-06,0.0048
-4.67E+01,0,-0.0036,,-1.87E-06,0.0048
-4.67E+01,0.0072,0.0076,,-1.87E-06,0.0064
-4.67E+01,-0.0032,-0.0036,,-1.87E-06,0.0056
-4.67E+01,-0.0024,-0.0044,,-1.87E-06,0.0064
-4.67E+01,0.008,0.0068,,-1.87E-06,0.0064
-4.66E+01,-0.0016,0.0004,,-1.87E-06,0.0064
-4.66E+01,-0.0024,-0.006,,-1.87E-06,0.0064
-4.66E+01,0.008,-0.0044,,-1.86E-06,0.0064
-4.66E+01,0.0056,0.006,,-1.86E-06,0.0064
-4.66E+01,-0.0024,-0.0044,,-1.86E-06,0.0064
-4.66E+01,-0.0032,-0.0052,,-1.86E-06,0.0056
-4.66E+01,0.0048,0.0044,,-1.86E-06,0.0056
-4.66E+01,-0.0024,-0.006,,-1.86E-06,0.0056
-4.66E+01,-0.0032,-0.0036,,-1.86E-06,0.0056
-4.66E+01,0.0048,0.0052,,-1.86E-06,0.0056
-4.65E+01,0.0024,0.0068,,-1.86E-06,0.008
-4.65E+01,-0.0008,-0.002,,-1.86E-06,0.008
-4.65E+01,-0.0024,-0.0012,,-1.86E-06,0.008
-4.65E+01,0.0056,0.0044,,-1.86E-06,0.008
-4.65E+01,-0.0024,-0.0044,,-1.86E-06,0.008
-4.65E+01,0,-0.0028,,-1.86E-06,0.0072
-4.65E+01,0.0064,0.0044,,-1.86E-06,0.0072
-4.65E+01,-0.0008,0.0036,,-1.86E-06,0.0064
-4.65E+01,-0.0032,-0.0044,,-1.86E-06,0.0072
-4.65E+01,0.0056,-0.0044,,-1.86E-06,0.0064
-4.64E+01,0.0072,0.0036,,-1.86E-06,0.0064
-4.64E+01,-0.0008,-0.0044,,-1.86E-06,0.0064
-4.64E+01,-0.0016,-0.0012,,-1.86E-06,0.0064
-4.64E+01,0.0048,0.006,,-1.86E-06,0.0064
-4.64E+01,-0.0024,-0.0012,,-1.86E-06,0.0064
-4.64E+01,-0.0016,-0.0028,,-1.86E-06,0.0064
-4.64E+01,0.0048,0.002,,-1.86E-06,0.0072
-4.64E+01,0.0072,0.0068,,-1.85E-06,0.0064
-4.64E+01,0,-0.0036,,-1.85E-06,0.0064
-4.64E+01,-0.0024,-0.0044,,-1.85E-06,0.0064
-4.63E+01,0.008,0.006,,-1.85E-06,0.0072
-4.63E+01,-0.0024,-0.0044,,-1.85E-06,0.0072
-4.63E+01,-0.0024,-0.0076,,-1.85E-06,0.0072
-4.63E+01,0.0056,0.0068,,-1.85E-06,0.0072
-4.63E+01,0.0016,0.0052,,-1.85E-06,0.0072
-4.63E+01,-0.0032,-0.0036,,-1.85E-06,0.0072
-4.63E+01,0,-0.0044,,-1.85E-06,0.0088
-4.63E+01,0.0088,0.0076,,-1.85E-06,0.0088
-4.63E+01,-0.0024,-0.0044,,-1.85E-06,0.008
