Model,MSO4032,,,,
Firmware Version,2.68,,,,
,,,,,
Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,4,,,Horizontal Scale,4.00E-08
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,0.004,,,Sample Interval,4.00E-10
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.02,,,Vertical Scale,0.02
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.91E+01,-0.0008,0.0204,,-1.91E-06,-0.0016
-1.91E+01,-0.0016,-0.0044,,-1.91E-06,-0.0024
-1.91E+01,-0.0024,-0.0028,,-1.91E-06,-0.0024
-1.91E+01,-0.0024,0.0188,,-1.91E-06,-0.0024
-1.91E+01,-0.004,-0.0052,,-1.91E-06,-0.0024
-1.91E+01,-0.0024,-0.002,,-1.91E-06,-0.0024
-1.91E+01,-0.0016,0.0172,,-1.91E-06,-0.0024
-1.91E+01,-0.0008,-0.0028,,-1.91E-06,-0.0024
-1.91E+01,-0.004,-0.0028,,-1.91E-06,-0.0024
-1.91E+01,-0.0016,0.0172,,-1.91E-06,-0.0024
-1.91E+01,-0.0016,0.014,,-1.91E-06,-0.0016
-1.91E+01,-0.004,-0.0036,,-1.91E-06,-0.0024
-1.91E+01,-0.0048,0.0084,,-1.91E-06,-0.0024
-1.91E+01,-0.0008,0.0188,,-1.91E-06,-0.0024
-1.91E+01,-0.0008,-0.0012,,-1.91E-06,-0.004
-1.91E+01,-0.0032,0.0004,,-1.91E-06,-0.0048
-1.91E+01,-0.0024,0.018,,-1.91E-06,-0.004
-1.91E+01,-0.004,-0.0036,,-1.91E-06,-0.0024
-1.91E+01,-0.004,-0.002,,-1.91E-06,-0.0032
-1.91E+01,-0.0008,0.0188,,-1.91E-06,-0.0024
-1.91E+01,-0.0024,-0.0036,,-1.91E-06,-0.0016
-1.90E+01,-0.0048,-0.0044,,-1.90E-06,-0.0016
-1.90E+01,-0.0024,0.0212,,-1.90E-06,-0.0024
-1.90E+01,-0.004,-0.0036,,-1.90E-06,-0.0016
-1.90E+01,-0.0032,-0.0044,,-1.90E-06,-0.0024
-1.90E+01,-0.0008,0.0188,,-1.90E-06,-0.0024
-1.90E+01,-0.0008,-0.0036,,-1.90E-06,-0.0024
-1.90E+01,-0.0024,-0.002,,-1.90E-06,-0.0024
-1.90E+01,-0.0032,0.0172,,-1.90E-06,-0.0016
-1.90E+01,-0.0016,0.0084,,-1.90E-06,-0.0016
-1.90E+01,-0.0032,-0.002,,-1.90E-06,-0.0024
-1.90E+01,-0.0016,0.0156,,-1.90E-06,-0.0024
-1.90E+01,-0.0024,0.018,,-1.90E-06,-0.0008
-1.90E+01,-0.0048,-0.0036,,-1.90E-06,-0.0016
-1.90E+01,-0.0016,0.002,,-1.90E-06,-0.0016
-1.90E+01,-0.0008,0.0156,,-1.90E-06,-0.0024
-1.90E+01,-0.0024,-0.002,,-1.90E-06,-0.0032
-1.90E+01,-0.0032,-0.0028,,-1.90E-06,-0.0024
-1.90E+01,-0.0008,0.0164,,-1.90E-06,-0.004
-1.90E+01,-0.004,-0.0044,,-1.90E-06,-0.0024
-1.90E+01,-0.0024,-0.0012,,-1.90E-06,-0.0032
-1.90E+01,-0.0008,0.0204,,-1.90E-06,-0.0016
-1.90E+01,-0.0032,-0.002,,-1.90E-06,0
-1.90E+01,-0.0024,-0.0044,,-1.90E-06,-0.0008
-1.90E+01,-0.0016,0.018,,-1.90E-06,0
-1.90E+01,-0.0016,-0.0044,,-1.90E-06,-0.0008
-1.89E+01,-0.004,-0.002,,-1.89E-06,-0.0016
-1.89E+01,-0.0024,0.0212,,-1.89E-06,-0.0032
-1.89E+01,-0.0024,-0.0036,,-1.89E-06,-0.0032
-1.89E+01,-0.0032,-0.002,,-1.89E-06,-0.0032
-1.89E+01,-0.0008,0.0156,,-1.89E-06,-0.0032
-1.89E+01,-0.0016,0.0172,,-1.89E-06,-0.0024
-1.89E+01,-0.0048,-0.0028,,-1.89E-06,-0.0016
-1.89E+01,-0.0024,0.0076,,-1.89E-06,-0.0016
-1.89E+01,-0.0008,0.0164,,-1.89E-06,-0.0016
-1.89E+01,-0.004,-0.0044,,-1.89E-06,-0.0016
-1.89E+01,-0.0024,-0.0052,,-1.89E-06,-0.0016
-1.89E+01,-0.0016,0.0164,,-1.89E-06,-0.0024
-1.89E+01,-0.0024,-0.0044,,-1.89E-06,-0.0016
-1.89E+01,-0.0024,0.0004,,-1.89E-06,-0.0032
-1.89E+01,-0.004,0.0204,,-1.89E-06,-0.0032
-1.89E+01,-0.0032,-0.0028,,-1.89E-06,-0.0032
-1.89E+01,-0.0024,-0.0036,,-1.89E-06,-0.0032
-1.89E+01,-0.0008,0.0188,,-1.89E-06,-0.0024
-1.89E+01,-0.0032,-0.0028,,-1.89E-06,-0.0024
-1.89E+01,-0.004,-0.0012,,-1.89E-06,-0.0016
-1.89E+01,-0.0008,0.0188,,-1.89E-06,-0.0016
-1.89E+01,-0.0008,-0.0028,,-1.89E-06,-0.0008
-1.89E+01,-0.0048,-0.0036,,-1.89E-06,-0.0024
-1.89E+01,-0.0032,0.018,,-1.89E-06,-0.0032
-1.89E+01,-0.0016,0.0164,,-1.89E-06,-0.0024
-1.88E+01,-0.004,-0.0044,,-1.88E-06,-0.0024
-1.88E+01,-0.0024,0.0116,,-1.88E-06,-0.0024
-1.88E+01,-0.0016,0.018,,-1.88E-06,-0.0024
-1.88E+01,-0.0032,-0.006,,-1.88E-06,-0.0024
-1.88E+01,-0.0024,-0.0036,,-1.88E-06,-0.0032
-1.88E+01,-0.0008,0.0172,,-1.88E-06,-0.0024
-1.88E+01,-0.004,-0.0052,,-1.88E-06,-0.0032
-1.88E+01,-0.0032,-0.0044,,-1.88E-06,-0.0032
-1.88E+01,-0.0024,0.0156,,-1.88E-06,-0.0032
-1.88E+01,-0.0024,-0.0028,,-1.88E-06,-0.0032
-1.88E+01,-0.0032,-0.002,,-1.88E-06,-0.004
-1.88E+01,-0.0016,0.0172,,-1.88E-06,-0.0032
-1.88E+01,-0.004,-0.0036,,-1.88E-06,-0.0032
-1.88E+01,-0.0048,-0.0044,,-1.88E-06,-0.0024
-1.88E+01,-0.0008,0.0188,,-1.88E-06,-0.0008
-1.88E+01,-0.0024,-0.002,,-1.88E-06,0.0008
-1.88E+01,-0.0024,-0.0036,,-1.88E-06,0.0024
-1.88E+01,-0.0024,0.0204,,-1.88E-06,0.0032
-1.88E+01,-0.0024,0.0068,,-1.88E-06,0.0048
-1.88E+01,-0.0032,-0.006,,-1.88E-06,0.0056
-1.88E+01,-0.0024,0.0148,,-1.88E-06,0.0064
-1.88E+01,-0.0016,0.0196,,-1.88E-06,0.0064
-1.88E+01,-0.0024,-0.0044,,-1.88E-06,0.0056
-1.88E+01,-0.0024,0.0004,,-1.88E-06,0.0072
-1.88E+01,-0.0024,0.018,,-1.88E-06,0.008
-1.87E+01,-0.0024,-0.0028,,-1.87E-06,0.0072
-1.87E+01,-0.004,-0.0036,,-1.87E-06,0.0072
-1.87E+01,-0.0016,0.0172,,-1.87E-06,0.0072
-1.87E+01,-0.0032,-0.0012,,-1.87E-06,0.0072
-1.87E+01,-0.0016,-0.002,,-1.87E-06,0.0064
-1.87E+01,-0.0008,0.0172,,-1.87E-06,0.0072
-1.87E+01,-0.004,-0.0044,,-1.87E-06,0.0072
-1.87E+01,-0.0032,-0.0012,,-1.87E-06,0.0072
-1.87E+01,-0.0016,0.0164,,-1.87E-06,0.0072
-1.87E+01,-0.0032,-0.002,,-1.87E-06,0.008
-1.87E+01,-0.004,-0.002,,-1.87E-06,0.0088
-1.87E+01,-0.0024,0.0212,,-1.87E-06,0.0072
-1.87E+01,0,-0.002,,-1.87E-06,0.008
-1.87E+01,-0.0032,-0.002,,-1.87E-06,0.008
